well,od,time
A 1,0.0533,0
A 1,0.0534,2700
A 1,0.0538,5400
A 1,0.0533,8100
A 1,0.0535,10800
A 1,0.0536,13500
A 1,0.0526,16200
A 1,0.0522,18900
A 1,0.0536,21600
A 1,0.0538,24300
A 1,0.0535,27000
A 1,0.0531,29700
A 1,0.0539,32400
A 1,0.0529,35100
A 1,0.0535,37800
A 1,0.0539,40500
A 1,0.0533,43200
A 1,0.0539,45900
A 1,0.0534,48600
A 1,0.0534,51300
A 1,0.053,54000
A 1,0.0538,56700
A 1,0.0531,59400
A 1,0.0531,62100
A 1,0.053,64800
A 1,0.053,67500
A 1,0.0537,70200
A 1,0.054,72900
A 1,0.0535,75600
A 1,0.0528,78300
A 1,0.0526,81000
A 1,0.0528,83700
A 2,0.0498,0.02
A 2,0.0495,2700.02
A 2,0.0495,5400.02
A 2,0.0502,8100.02
A 2,0.0502,10800.02
A 2,0.0492,13500.02
A 2,0.05,16200.02
A 2,0.0489,18900.02
A 2,0.0498,21600.02
A 2,0.0493,24300.02
A 2,0.05,27000.02
A 2,0.0494,29700.02
A 2,0.0502,32400.02
A 2,0.0494,35100.02
A 2,0.0498,37800.02
A 2,0.05,40500.02
A 2,0.0507,43200.02
A 2,0.0498,45900.02
A 2,0.0498,48600.02
A 2,0.0487,51300.02
A 2,0.0492,54000.02
A 2,0.0494,56700.02
A 2,0.0498,59400.02
A 2,0.0497,62100.02
A 2,0.049,64800.02
A 2,0.0492,67500.02
A 2,0.0498,70200.02
A 2,0.05,72900.02
A 2,0.0498,75600.02
A 2,0.0494,78300.02
A 2,0.0492,81000.02
A 2,0.0487,83700.02
A 3,0.054,0.04
A 3,0.0531,2700.04
A 3,0.0537,5400.04
A 3,0.0538,8100.04
A 3,0.0538,10800.04
A 3,0.0545,13500.04
A 3,0.0545,16200.04
A 3,0.0533,18900.04
A 3,0.054,21600.04
A 3,0.0546,24300.04
A 3,0.0543,27000.04
A 3,0.0538,29700.04
A 3,0.0536,32400.04
A 3,0.053,35100.04
A 3,0.0539,37800.04
A 3,0.0541,40500.04
A 3,0.0549,43200.04
A 3,0.0542,45900.04
A 3,0.0542,48600.04
A 3,0.0542,51300.04
A 3,0.0536,54000.04
A 3,0.0528,56700.04
A 3,0.0535,59400.04
A 3,0.0535,62100.04
A 3,0.0535,64800.04
A 3,0.0538,67500.04
A 3,0.0542,70200.04
A 3,0.0545,72900.04
A 3,0.0541,75600.04
A 3,0.0534,78300.04
A 3,0.0534,81000.04
A 3,0.0532,83700.04
A 4,0.0517,0.06
A 4,0.0512,2700.06
A 4,0.0513,5400.06
A 4,0.051,8100.06
A 4,0.0516,10800.06
A 4,0.0517,13500.06
A 4,0.0524,16200.06
A 4,0.0508,18900.06
A 4,0.0511,21600.06
A 4,0.0516,24300.06
A 4,0.0517,27000.06
A 4,0.0514,29700.06
A 4,0.0512,32400.06
A 4,0.051,35100.06
A 4,0.0513,37800.06
A 4,0.0517,40500.06
A 4,0.0516,43200.06
A 4,0.0528,45900.06
A 4,0.0517,48600.06
A 4,0.0507,51300.06
A 4,0.0514,54000.06
A 4,0.0518,56700.06
A 4,0.0518,59400.06
A 4,0.0517,62100.06
A 4,0.0512,64800.06
A 4,0.0512,67500.06
A 4,0.0519,70200.06
A 4,0.0512,72900.06
A 4,0.0506,75600.06
A 4,0.0511,78300.06
A 4,0.051,81000.06
A 4,0.0507,83700.06
A 5,0.0616,0.08
A 5,0.0616,2700.07
A 5,0.0612,5400.07
A 5,0.0607,8100.07
A 5,0.0615,10800.07
A 5,0.0613,13500.07
A 5,0.0608,16200.07
A 5,0.061,18900.07
A 5,0.0615,21600.07
A 5,0.0616,24300.07
A 5,0.0617,27000.07
A 5,0.0614,29700.07
A 5,0.0614,32400.07
A 5,0.0606,35100.07
A 5,0.061,37800.07
A 5,0.0621,40500.07
A 5,0.0618,43200.07
A 5,0.0624,45900.07
A 5,0.0617,48600.07
A 5,0.0613,51300.07
A 5,0.0611,54000.07
A 5,0.0605,56700.07
A 5,0.0605,59400.07
A 5,0.0612,62100.07
A 5,0.0612,64800.07
A 5,0.0613,67500.07
A 5,0.0612,70200.07
A 5,0.0616,72900.07
A 5,0.0616,75600.07
A 5,0.0607,78300.07
A 5,0.0609,81000.07
A 5,0.0606,83700.07
A 6,0.0576,0.09
A 6,0.0566,2700.09
A 6,0.057,5400.09
A 6,0.0569,8100.09
A 6,0.0578,10800.09
A 6,0.0566,13500.09
A 6,0.0567,16200.09
A 6,0.0565,18900.09
A 6,0.0573,21600.09
A 6,0.0572,24300.09
A 6,0.0573,27000.09
A 6,0.0574,29700.09
A 6,0.0572,32400.09
A 6,0.0564,35100.09
A 6,0.0573,37800.09
A 6,0.0572,40500.09
A 6,0.0574,43200.09
A 6,0.0586,45900.09
A 6,0.0573,48600.09
A 6,0.0562,51300.09
A 6,0.0569,54000.09
A 6,0.0571,56700.09
A 6,0.0567,59400.09
A 6,0.0571,62100.09
A 6,0.0569,64800.09
A 6,0.057,67500.09
A 6,0.0571,70200.09
A 6,0.0579,72900.09
A 6,0.057,75600.09
A 6,0.0571,78300.09
A 6,0.0567,81000.09
A 6,0.0572,83700.09
A 7,0.0565,0.11
A 7,0.0556,2700.11
A 7,0.0556,5400.11
A 7,0.0557,8100.11
A 7,0.0565,10800.11
A 7,0.0558,13500.11
A 7,0.0558,16200.11
A 7,0.0551,18900.11
A 7,0.0557,21600.11
A 7,0.0557,24300.11
A 7,0.0558,27000.11
A 7,0.0555,29700.11
A 7,0.0554,32400.11
A 7,0.0551,35100.11
A 7,0.0556,37800.11
A 7,0.056,40500.11
A 7,0.0561,43200.11
A 7,0.0562,45900.11
A 7,0.0561,48600.11
A 7,0.056,51300.11
A 7,0.0548,54000.11
A 7,0.0563,56700.11
A 7,0.0555,59400.11
A 7,0.0554,62100.11
A 7,0.0561,64800.11
A 7,0.0556,67500.11
A 7,0.0554,70200.11
A 7,0.0553,72900.11
A 7,0.0561,75600.11
A 7,0.055,78300.11
A 7,0.056,81000.11
A 7,0.0561,83700.11
A 8,0.056,0.13
A 8,0.0554,2700.13
A 8,0.0559,5400.13
A 8,0.0558,8100.13
A 8,0.0559,10800.13
A 8,0.0559,13500.13
A 8,0.0565,16200.13
A 8,0.0553,18900.13
A 8,0.0561,21600.13
