line,time,species,dilution,dil_fact,count,type
PP1,T2,P,0,0,0,mono
PP2,T2,P,1,100,3,mono
PP3,T2,P,0,0,0,mono
PP4,T2,P,0,0,0,mono
PP5,T2,P,0,0,0,mono
PP6,T2,P,0,0,0,mono
PP1,T4,P,0,0,0,mono
PP2,T4,P,0,0,0,mono
PP3,T4,P,0,0,0,mono
PP4,T4,P,0,0,0,mono
PP5,T4,P,0,0,0,mono
PP6,T4,P,0,0,0,mono
PP1,T6,P,0,0,0,mono
PP2,T6,P,0,0,0,mono
PP3,T6,P,0,0,0,mono
PP4,T6,P,0,0,0,mono
PP5,T6,P,0,0,0,mono
PP6,T6,P,0,0,0,mono
PP1,T8,P,0,0,0,mono
PP2,T8,P,0,0,0,mono
PP3,T8,P,0,0,0,mono
PP4,T8,P,0,0,0,mono
PP5,T8,P,0,0,0,mono
PP6,T8,P,0,0,0,mono
OP2,T2,O,100000,100,10,mono
OP3,T2,O,100,100,6,mono
OP4,T2,O,100,100,46,mono
OP5,T2,O,100,100,27,mono
OP6,T2,O,10000,100,18,mono
OP7,T2,O,10,100,10,mono
OP2,T4,O,NA,NA,NA,mono
OP3,T4,O,1,100,240,mono
OP4,T4,O,100,100,29,mono
OP5,T4,O,0,0,0,mono
OP6,T4,O,10,100,10,mono
OP7,T4,O,10,100,1,mono
OP2,T6,O,100,100,11,mono
OP3,T6,O,100,100,7,mono
OP4,T6,O,10,100,3,mono
OP5,T6,O,10,100,15,mono
OP6,T6,O,10,100,11,mono
OP7,T6,O,10,100,1,mono
OP2,T8,O,100,100,11,mono
OP3,T8,O,100,100,7,mono
OP4,T8,O,1,100,17,mono
OP5,T8,O,100,100,3,mono
OP6,T8,O,100,100,1,mono
OP7,T8,O,1,100,164,mono
VP1,T2,V,1000,100,1,mono
VP2,T2,V,100,100,13,mono
VP4,T2,V,100,100,4,mono
VP5,T2,V,10,100,18,mono
VP6,T2,V,100,100,1,mono
VP7,T2,V,100,100,1,mono
VP1,T4,V,0,0,0,mono
VP2,T4,V,0,0,0,mono
VP4,T4,V,0,0,0,mono
VP5,T4,V,0,0,0,mono
VP6,T4,V,0,0,0,mono
VP7,T4,V,0,0,0,mono
VP1,T6,V,0,0,0,mono
VP2,T6,V,0,0,0,mono
VP4,T6,V,0,0,0,mono
VP5,T6,V,0,0,0,mono
VP6,T6,V,0,0,0,mono
VP7,T6,V,0,0,0,mono
VP1,T8,V,0,0,0,mono
VP2,T8,V,0,0,0,mono
VP4,T8,V,0,0,0,mono
VP5,T8,V,0,0,0,mono
VP6,T8,V,0,0,0,mono
VP7,T8,V,0,0,0,mono
CP1,T2,P,10,100,18,comm
CP2,T2,P,10,100,21,comm
CP3,T2,P,10,100,11,comm
CP4,T2,P,10,100,36,comm
CP5,T2,P,1,100,5,comm
CP7,T2,P,0,0,0,comm
CP1,T4,P,0,0,0,comm
CP2,T4,P,0,0,0,comm
CP3,T4,P,0,0,0,comm
CP4,T4,P,1,100,64,comm
CP5,T4,P,0,0,0,comm
CP7,T4,P,0,0,0,comm
CP1,T6,P,0,0,0,comm
CP2,T6,P,0,0,0,comm
CP3,T6,P,0,0,0,comm
CP4,T6,P,0,0,0,comm
CP5,T6,P,0,0,0,comm
CP7,T6,P,0,0,0,comm
CP1,T8,P,0,0,0,comm
CP2,T8,P,0,0,0,comm
CP3,T8,P,0,0,0,comm
CP4,T8,P,0,0,0,comm
CP5,T8,P,0,0,0,comm
CP7,T8,P,0,0,0,comm
CP1,T2,O,1,100,87,comm
CP2,T2,O,NA,NA,NA,comm
CP3,T2,O,100,100,59,comm
CP4,T2,O,100,100,22,comm
CP5,T2,O,10,10,7,comm
CP7,T2,O,10,100,138,comm
CP1,T4,O,0,0,0,comm
CP2,T4,O,100,100,5,comm
CP3,T4,O,1000,100,9,comm
CP4,T4,O,1,100,59,comm
CP5,T4,O,0,0,0,comm
CP7,T4,O,0,0,0,comm
CP1,T6,O,0,0,0,comm
CP2,T6,O,0,0,0,comm
CP3,T6,O,10,100,27,comm
CP4,T6,O,0,0,0,comm
CP5,T6,O,0,0,0,comm
CP7,T6,O,0,0,0,comm
CP1,T8,O,0,0,0,comm
CP2,T8,O,0,0,0,comm
CP3,T8,O,100,100,3,comm
CP4,T8,O,1,100,186,comm
CP5,T8,O,0,0,0,comm
CP7,T8,O,0,0,0,comm
CP1,T2,V,100,100,2,comm
CP2,T2,V,10,100,5,comm
CP3,T2,V,10,100,13,comm
CP4,T2,V,100,100,3,comm
CP5,T2,V,100,100,2,comm
CP7,T2,V,100,100,4,comm
CP1,T4,V,0,0,0,comm
CP2,T4,V,0,0,0,comm
CP3,T4,V,0,0,0,comm
CP4,T4,V,0,0,0,comm
CP5,T4,V,0,0,0,comm
CP7,T4,V,0,0,0,comm
CP1,T6,V,0,0,0,comm
CP2,T6,V,0,0,0,comm
CP3,T6,V,0,0,0,comm
CP4,T6,V,0,0,0,comm
CP5,T6,V,0,0,0,comm
CP7,T6,V,0,0,0,comm
CP1,T8,V,0,0,0,comm
CP2,T8,V,0,0,0,comm
CP3,T8,V,0,0,0,comm
CP4,T8,V,0,0,0,comm
CP5,T8,V,0,0,0,comm
CP7,T8,V,0,0,0,comm
