evo_line,rep,clone,time,phage,count,dil,dil_fact,t0,block
VP,1,1,T2,Y,55,40,10000,166666.6667,A
VP,1,2,T2,Y,29,40,10000,166666.6667,A
VP,1,3,T2,Y,83,40,10000,166666.6667,A
VP,1,4,T2,Y,54,40,10000,166666.6667,A
VP,1,5,T2,Y,46,40,10000,166666.6667,A
VP,1,6,T2,Y,69,40,10000,166666.6667,A
VP,1,7,T2,Y,73,40,10000,166666.6667,A
VP,1,8,T2,Y,24,40,10000,166666.6667,A
VP,1,9,T2,Y,36,40,10000,166666.6667,A
VP,1,10,T2,Y,45,40,10000,166666.6667,A
VP,1,11,T2,Y,70,40,10000,166666.6667,A
VP,1,12,T2,Y,43,40,10000,166666.6667,A
VP,2,1,T2,Y,18,40,10000,166666.6667,A
VP,2,2,T2,Y,57,40,10000,166666.6667,A
VP,2,3,T2,Y,55,40,10000,166666.6667,A
VP,2,4,T2,Y,72,40,10000,166666.6667,A
VP,2,5,T2,Y,50,40,10000,166666.6667,A
VP,2,6,T2,Y,45,40,10000,166666.6667,A
VP,2,7,T2,Y,47,40,10000,166666.6667,A
VP,2,8,T2,Y,68,40,10000,166666.6667,A
VP,2,9,T2,Y,77,40,10000,166666.6667,A
VP,2,10,T2,Y,50,40,10000,166666.6667,A
VP,2,11,T2,Y,69,40,10000,166666.6667,A
VP,2,12,T2,Y,47,40,10000,166666.6667,A
VP,3,1,T2,Y,44,40,10000,166666.6667,A
VP,3,2,T2,Y,92,40,10000,166666.6667,A
VP,3,3,T2,Y,85,40,10000,166666.6667,A
VP,3,4,T2,Y,107,40,10000,166666.6667,A
VP,3,5,T2,Y,79,40,10000,166666.6667,A
VP,3,6,T2,Y,63,40,10000,166666.6667,A
VP,3,7,T2,Y,35,40,10000,166666.6667,A
VP,3,8,T2,Y,48,40,10000,166666.6667,A
VP,3,9,T2,Y,NA,40,10000,166666.6667,A
VP,3,10,T2,Y,78,40,10000,166666.6667,A
VP,3,11,T2,Y,51,40,10000,166666.6667,A
VP,3,12,T2,Y,74,40,10000,166666.6667,A
V,1,1,T2,N,21,40,10000,166666.6667,A
