treat,bact,count,dil,dil_fact,froz,com,total
anc,p,66,10000,40,2,a1,341
anc,o,157,10000,40,2,a1,341
anc,v,118,10000,40,2,a1,341
anc,p,93,10000,40,2,a2,342
anc,o,154,10000,40,2,a2,342
anc,v,95,10000,40,2,a2,342
anc,p,24,10000,40,2,a3,322
anc,o,249,10000,40,2,a3,322
anc,v,49,10000,40,2,a3,322
anc,p,45,10000,40,2,a4,288
anc,o,192,10000,40,2,a4,288
anc,v,51,10000,40,2,a4,288
anc,p,43,10000,40,2,a5,411
anc,o,282,10000,40,2,a5,411
anc,v,86,10000,40,2,a5,411
anc,p,22,10000,40,2,a6,351
anc,o,239,10000,40,2,a6,351
anc,v,90,10000,40,2,a6,351
r,p,32,10000,40,2,r1,315
r,o,211,10000,40,2,r1,315
r,v,72,10000,40,2,r1,315
r,p,28,10000,40,2,r2,361
r,o,230,10000,40,2,r2,361
r,v,103,10000,40,2,r2,361
r,p,49,10000,40,2,r3,350
r,o,226,10000,40,2,r3,350
r,v,75,10000,40,2,r3,350
r,p,25,10000,40,2,r4,400
r,o,280,10000,40,2,r4,400
r,v,95,10000,40,2,r4,400
r,p,21,10000,40,2,r5,296
r,o,204,10000,40,2,r5,296
r,v,71,10000,40,2,r5,296
r,p,36,10000,40,2,r6,354
r,o,205,10000,40,2,r6,354
r,v,113,10000,40,2,r6,354
s,p,27,10000,40,2,s1,307
s,o,225,10000,40,2,s1,307
s,v,55,10000,40,2,s1,307
s,p,33,10000,40,2,s2,401
s,o,283,10000,40,2,s2,401
s,v,85,10000,40,2,s2,401
s,p,38,10000,40,2,s3,353
s,o,194,10000,40,2,s3,353
s,v,121,10000,40,2,s3,353
s,p,54,10000,40,2,s4,263
s,o,162,10000,40,2,s4,263
s,v,47,10000,40,2,s4,263
s,p,48,10000,40,2,s5,304
s,o,179,10000,40,2,s5,304
s,v,77,10000,40,2,s5,304
s,p,60,10000,40,2,s6,410
s,o,243,10000,40,2,s6,410
s,v,107,10000,40,2,s6,410
